lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega
0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; 0.000004 0.000004 0.000000 ; 0.000002 0.000002 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.021732 ; 0.021710 
0.000000 0.000000 0.000000 ; 0.000002 -0.000002 0.001173 ; 0.000003 0.000001 0.000695 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.010926 ; -0.010893 
0.000000 0.000000 0.000000 ; 0.000004 0.000000 0.000584 ; 0.000003 -0.000001 0.000388 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.010806 ; 0.010784 
0.000000 0.000000 0.000000 ; 0.000004 0.000000 0.001167 ; 0.000004 0.000000 0.000756 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000011 
0.000000 0.000000 0.000000 ; -0.000009 -0.000014 0.001167 ; -0.000005 -0.000009 0.000798 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.076361 ; -0.076285 
0.000000 0.000000 0.000000 ; -0.000006 -0.000010 359.997040 ; -0.000008 -0.000012 359.998352 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.021732 ; 0.021634 
0.000000 0.000000 0.000000 ; -0.000006 -0.000010 359.998199 ; -0.000006 -0.000010 359.998932 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000022 
0.000000 0.000000 0.000000 ; -0.000006 -0.000010 359.998199 ; -0.000006 -0.000010 359.998840 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; -0.000006 -0.000010 359.998199 ; -0.000006 -0.000010 359.998779 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
0.000000 0.000000 0.000000 ; -0.000008 -0.000012 359.998199 ; -0.000007 -0.000011 359.998688 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.010806 ; -0.010795 
0.000000 0.000000 0.000000 ; -0.000006 -0.000010 359.997620 ; -0.000007 -0.000011 359.998291 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.010806 ; 0.010784 
0.000000 0.000000 0.000000 ; -0.000023 -0.000027 359.998199 ; -0.000016 -0.000021 359.998566 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.098213 ; -0.098104 
0.000000 0.000000 0.000000 ; -0.000013 -0.000017 359.992889 ; -0.000018 -0.000022 359.995300 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.054509 ; 0.054357 
0.000000 0.000000 0.000000 ; -0.000013 -0.000017 359.995819 ; -0.000013 -0.000017 359.996796 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000054 
0.000000 0.000000 0.000000 ; -0.000013 -0.000017 359.995819 ; -0.000013 -0.000017 359.996704 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 ; 0.000000 
