lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos
1.762447 0.303789 3.580823 ; 1.762447 0.303789 3.580823 ; 1.762447 0.303789 3.580823 ; 0.000000 0.000000 ; 0.000000 0.000000 
1.762447 0.303789 3.580823 ; 1.762447 0.303789 3.580823 ; 1.762447 0.303789 3.580823 ; 0.000000 0.000000 ; -0.961538 -0.961538 
1.768274 0.294029 3.709573 ; 1.763904 0.301349 3.709573 ; 1.762447 0.303789 3.580823 ; 0.000000 0.000000 ; -0.908430 -0.908430 
1.768274 0.294029 3.709573 ; 1.764131 0.300969 3.709573 ; 1.762750 0.303282 3.587963 ; 0.000000 0.000000 ; -0.844869 -0.844869 
1.771369 0.287542 3.545809 ; 1.762478 0.300986 6.957106 ; 1.763075 0.302736 3.596050 ; 1.729225 1.550547 ; -0.775131 -0.775131 
1.771369 0.287542 3.545809 ; 1.760456 0.302060 12.389801 ; 1.763216 0.301619 5.283769 ; 1.729225 1.550547 ; 1.729225 1.550547 
1.771369 0.287542 3.545809 ; 1.757224 0.301552 18.632547 ; 1.762744 0.300871 8.048201 ; 1.735816 1.550439 ; 1.729225 1.550547 
1.771369 0.287542 3.545809 ; 1.754484 0.300331 25.236729 ; 1.762067 0.300705 11.133718 ; 1.735816 1.550439 ; 1.729939 1.550535 
1.771369 0.287542 3.545809 ; 1.751987 0.301330 32.107601 ; 1.759585 0.300639 15.684178 ; 1.641994 1.541576 ; 1.730608 1.550524 
1.771369 0.287542 3.545809 ; 1.748939 0.300603 39.043415 ; 1.757252 0.300385 20.648714 ; 1.641994 1.541576 ; 1.720153 1.549468 
1.771369 0.287542 3.545809 ; 1.745470 0.300102 45.745174 ; 1.755210 0.301224 25.899128 ; 1.846850 1.541574 ; 1.710676 1.548512 
1.771369 0.287542 3.545809 ; 1.741636 0.300035 52.805664 ; 1.752499 0.301285 31.238043 ; 1.846850 1.541574 ; 1.727530 1.547653 
1.771369 0.287542 3.545809 ; 1.738059 0.299415 60.013115 ; 1.749524 0.301661 36.973312 ; 0.954894 0.253897 ; 1.742528 1.546889 
1.771369 0.287542 3.545809 ; 1.736987 0.299058 67.133911 ; 1.746477 0.302339 42.977566 ; 0.954894 0.253897 ; 1.642366 1.382461 
1.771369 0.287542 3.545809 ; 1.735552 0.299089 74.102074 ; 1.743706 0.302752 49.094234 ; 0.312511 1.672495 ; 1.554172 1.237680 
1.771369 0.287542 3.545809 ; 1.733941 0.298605 80.650917 ; 1.742183 0.302528 55.257996 ; 0.312511 1.672495 ; 1.393825 1.293831 
